Menu Item,Image URL
6 pcs. Egg Tart,https://images.ctfassets.net/n4pc9wlortyn/1lEFBpbHDatc1QHvHYxlnV/c3fc83870850b679b4e00a6488c1daa0/6_pc._Egg_Tart__480x388.png
Zinger Burger,https://images.ctfassets.net/n4pc9wlortyn/1thXurAWckdDLX3bxStbc2/2cdb22c723fa384bdbf60dc18a07d973/Zinger_Burger_Burger_480x388.png
Jumbo French Fries,https://images.ctfassets.net/n4pc9wlortyn/xyPwRlA2UsrnNNkc5F6Yi/0a500e51e00b1cc300a287b809de5e9c/French_Fries__Jumbo__480x388.png
Large French Fries,https://images.ctfassets.net/n4pc9wlortyn/2YuLT4ctHsmiz9M63d026r/4ad70b75a08860d87ab4468adc6cff07/French_Fries__Large__480x388.png
Regular French Fries,https://images.ctfassets.net/n4pc9wlortyn/6UFkOmNlzQHaiXrH9yc45k/e1341d1c1ec69e1a985afc7753ab00ac/French_Fries__Regular__480x388.png
Regular Mashed Potato,https://images.ctfassets.net/n4pc9wlortyn/41qq31bxxa9BpStEmR5p4O/e188857f51560dcf34b7d0e49b6b02ca/Mashed_Potato__Regular__480x388.png
Coleslaw,https://images.ctfassets.net/n4pc9wlortyn/1p4zE8ZM56c3Bi5eNM02Qg/9fd433d4416b521b8f7ff097f18b9512/Coleslaw_480x388.png
Tuna Corn Salad,https://images.ctfassets.net/n4pc9wlortyn/1hIR5NWKBJWfatTj8fxF35/ffd208e2fea433d819ffa2a942020573/Tuna_Corn_Salad_480x388.png
Pepsi 1 Glass,https://images.ctfassets.net/n4pc9wlortyn/6vvUyuXaRROoCVhOY3nmLX/a248ffc9305534fbdedb16e695ee3892/Pepsi_1_Glass_480x388.png
7-Up No Sugar 1 Glass,https://images.ctfassets.net/n4pc9wlortyn/gyIOI9C9CoZNqdzKh2CYQ/ff975f64f6334b2882837c4c746aea02/7-Up_No_Sugar_480x388.png
Pepsi Max 1 Glass,https://images.ctfassets.net/n4pc9wlortyn/2GtpqTzCLqjBn1nuUa4Ao/20ef21f47f7f9c7611d3efbdae4a803e/Pepsi_no_sugar_1_Glass_480x388.png
Pepsi 1 Glass,https://images.ctfassets.net/n4pc9wlortyn/6vvUyuXaRROoCVhOY3nmLX/a248ffc9305534fbdedb16e695ee3892/Pepsi_1_Glass_480x388.png
7-Up No Sugar 1 Glass,https://images.ctfassets.net/n4pc9wlortyn/gyIOI9C9CoZNqdzKh2CYQ/ff975f64f6334b2882837c4c746aea02/7-Up_No_Sugar_480x388.png
Pepsi No Sugar 1 Glass,https://images.ctfassets.net/n4pc9wlortyn/2GtpqTzCLqjBn1nuUa4Ao/20ef21f47f7f9c7611d3efbdae4a803e/Pepsi_no_sugar_1_Glass_480x388.png
Iced Pinky Milk 16oz,https://images.ctfassets.net/n4pc9wlortyn/7BEkkFswnPpISyARO0zOc2/da0218514b5079ee9368d4cdd1aea38c/IcedPinkyMilk_480x388.png
Iced Matcha Latte 16oz,https://images.ctfassets.net/n4pc9wlortyn/2faQl2VCe9TYtYL0JINtWR/e9fe656929dd3b1c806b713c1c55e8bd/Iced_Matcha_Latte_16oz_480x388.png
Iced Chocolate 16oz,https://images.ctfassets.net/n4pc9wlortyn/5gEPCPZ82XxSb36U7brrfP/52ea873bd8e41d5c9a19336a0efdff85/IcedChocolate_480x388.png
Iced Cappuccino 16oz,https://images.ctfassets.net/n4pc9wlortyn/5MJl1g9dmuXqbdbpJmZx0c/c96817414daf2e31c6361c54517ba12e/IcedCappuccino_480x388.png
Iced Caffe' Latte 16oz,https://images.ctfassets.net/n4pc9wlortyn/6EBLbWvp7WlID09mpSzlP7/26922684f1857b6e4c6fe9a180dc62c8/IcedCaffeLatte_480x388.png
Iced Espresso 16oz,https://images.ctfassets.net/n4pc9wlortyn/SmlGNIBr0mCxoeCtrm9vS/9bf614db87a44eeb7036ad0ae667c269/IcedEspresso_480x388.png
Iced Americano 16oz,https://images.ctfassets.net/n4pc9wlortyn/1gG9lvRi4ZfBZEs8DCHF99/b053fc07efdf3a75066b5137e52338bd/IcedAmericano_480x388.png
Hot Matcha Latte 8oz,https://images.ctfassets.net/n4pc9wlortyn/15mZf5d20GJW4DsRQ8JCwe/c811671eb2f1ad1a6c72fe9af641feb8/HotMatchaLatte_480x388.png
Hot Chocolate 8oz,https://images.ctfassets.net/n4pc9wlortyn/78B9fNzw4UdDhCKCHvfiLY/48ff654cf65a430e0527bfea15551f25/HotChocolate_480x388.png
Hot Cappuccino 8oz,https://images.ctfassets.net/n4pc9wlortyn/7K5nZBMx6p0DmDiQr2J5XJ/6ea2c3ebd91bebe16ad6b6d80d060853/Hot-Cappuchino_arigato.png
Hot Caffe' Latte 8oz,https://images.ctfassets.net/n4pc9wlortyn/3xfmbwwNDdPMce9eXm9vAf/d3d2b85ced438c7bd6a3144adc132371/HotLatte_480x388.png
Hot Espresso 8oz,https://images.ctfassets.net/n4pc9wlortyn/1m8kSe9sihCI5CH2vxhUo7/9a0673c94320166f320ef3527ca3674c/HotEspresso_480x388.png
Hot Americano  8oz,https://images.ctfassets.net/n4pc9wlortyn/54KdSaqWbccm5aJgpGRhG8/9e8736994ccf182fbb32911af888c9af/HotAmericano_480x388.png
SO Iced Pinky Milk 16oz,https://images.ctfassets.net/n4pc9wlortyn/485vrHjO2oUYJV4Cgm0yl1/f514d5b1e1a1aff56c1cc6fb3e78e670/SO_Iced_Pinky_Milk_16oz_480x388.png
SO Iced Matcha Latte 16oz,https://images.ctfassets.net/n4pc9wlortyn/3HZMSr6h0CXaou8NToTHgA/e8bf66f76cbbe65f1510ee1763375909/SO_Iced_Matcha_Latte_16oz_480x388.png
SO Iced Chocolate 16oz,https://images.ctfassets.net/n4pc9wlortyn/346PmLfYXS5W2bGWI0jTZH/a2e97154bd18e94308cd26f27b92a091/SO_Iced_Chocolate_16oz_480x388.png
SO Iced Cappuccino 16oz,https://images.ctfassets.net/n4pc9wlortyn/3wFHPXGDsCb36LZqFOaaUx/c5b6f458b9744ad93f28ea65031f6652/SO_Iced_Cappuccino_16oz_480x388.png
SO Iced Caffe Latte 16oz,https://images.ctfassets.net/n4pc9wlortyn/5YXbtAXh9K65nIMghzjxbz/04884e348e58d18cc9b464670415092e/SO_Iced_Caffe_Latte_16oz_480x388.png
SO Iced Espresso 16oz,https://images.ctfassets.net/n4pc9wlortyn/4A5jlytGCYxMqJY26fLLLa/548def31c75da43dd59179e559b5a71c/SO_Iced_Espresso_16oz_480x388.png
SO Iced Americano 16oz,https://images.ctfassets.net/n4pc9wlortyn/7vn291GR80cUUAxo3xT56s/b1312fe38d4508449b8e03854c5b48e0/SO_Iced_Americano_16oz_480x388.png
SO Hot Matcha Latte 8oz,https://images.ctfassets.net/n4pc9wlortyn/2G7t6i0MwK9VK5CmXhWSnp/610b417e3c31aa36fee264063d82bd4b/SO_Hot_Matcha_Latte_8oz_480x388.png
SO Hot Chocolate 8oz,https://images.ctfassets.net/n4pc9wlortyn/4dkcD0kvViNEd27ouJaKMC/c5b409f9fdbb585a52f90c38c6b8e1d3/SO_Hot_Chocolate_8oz_480x388.png
SO Hot Cappuccino 8oz,https://images.ctfassets.net/n4pc9wlortyn/5lYWVHDXn90h5zeDL5YfE7/338a2295087b9bc24b5ae0a7fc9d225e/SO_Hot_Cappuccino_8oz_480x388.png
SO Hot Caffe Latte 8oz,https://images.ctfassets.net/n4pc9wlortyn/3WqdVbOKerugg74dBRpONG/6081a2dd97390b473fa56cf031242a3e/SO_Hot_Caffe_Latte_8oz_480x388.png
So Hot Espresso 8oz,https://images.ctfassets.net/n4pc9wlortyn/1ZhWjqjSgupdlqkDpXJjP6/e6781d33c3753875f38588ca88661cf3/SO_Hot_Espresso_8oz_480x388.png
SO Hot Americano  8oz,https://images.ctfassets.net/n4pc9wlortyn/6rKFmx6IyX4iWCaAknxJKc/615214be485de8240ade273d879e8031/SO_Hot_Americano__8oz_480x388.png
Mineral Water,https://images.ctfassets.net/n4pc9wlortyn/4l7HHuczM6P3Y2gL6F5282/3b7876ba9331342253b1d4a2ebe22491/Mineral_Water_480x388.png
